id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,toss_win_and_match_win
335982,2007/08,Bangalore,2008-04-18,League,Bb Mccullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,223.0,20.0,False,False
335983,2007/08,Chandigarh,2008-04-19,League,Mek Hussey,"Punjab Cricket Association Stadium, Mohali",Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,241.0,20.0,False,True
335984,2007/08,Delhi,2008-04-19,League,Mf Maharoof,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9.0,130.0,20.0,False,False
335985,2007/08,Mumbai,2008-04-20,League,Mv Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,166.0,20.0,False,False
335986,2007/08,Kolkata,2008-04-20,League,Dj Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,111.0,20.0,False,False
335987,2007/08,Jaipur,2008-04-21,League,Sr Watson,Sawai Mansingh Stadium,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,bat,Rajasthan Royals,wickets,6.0,167.0,20.0,False,False
335988,2007/08,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9.0,143.0,20.0,False,False
335989,2007/08,Chennai,2008-04-23,League,Ml Hayden,"Ma Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,209.0,20.0,False,False
335990,2007/08,Hyderabad,2008-04-24,League,Yk Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,215.0,20.0,False,True
335991,2007/08,Chandigarh,2008-04-25,League,Kc Sangakkara,"Punjab Cricket Association Stadium, Mohali",Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,Kings Xi Punjab,runs,66.0,183.0,20.0,False,False
335992,2007/08,Bangalore,2008-04-26,League,Sr Watson,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,136.0,20.0,False,True
335993,2007/08,Chennai,2008-04-26,League,Jdp Oram,"Ma Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,148.0,20.0,False,False
335994,2007/08,Mumbai,2008-04-27,League,Ac Gilchrist,Dr Dy Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10.0,155.0,20.0,False,True
335995,2007/08,Chandigarh,2008-04-27,League,Sm Katich,"Punjab Cricket Association Stadium, Mohali",Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings Xi Punjab,wickets,4.0,159.0,20.0,False,False
335996,2007/08,Bangalore,2008-04-28,League,Ms Dhoni,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,179.0,20.0,False,True
335997,2007/08,Kolkata,2008-04-29,League,St Jayasuriya,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,138.0,20.0,False,False
335998,2007/08,Delhi,2008-04-30,League,Gd Mcgrath,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10.0,192.0,20.0,False,False
335999,2007/08,Hyderabad,2008-05-01,League,Se Marsh,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,Kings Xi Punjab,wickets,7.0,165.0,20.0,False,True
336000,2007/08,Jaipur,2008-05-01,League,Sa Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45.0,197.0,20.0,False,True
336001,2007/08,Chennai,2008-05-02,League,V Sehwag,"Ma Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8.0,170.0,20.0,False,False
336003,2007/08,Chandigarh,2008-05-03,League,Ik Pathan,"Punjab Cricket Association Stadium, Mohali",Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,Kings Xi Punjab,runs,9.0,179.0,20.0,False,True
336034,2007/08,Bangalore,2008-05-03,League,P Kumar,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3.0,157.0,20.0,False,False
336004,2007/08,Mumbai,2008-05-04,League,Sm Pollock,Dr Dy Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29.0,163.0,20.0,False,False
336005,2007/08,Jaipur,2008-05-04,League,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,110.0,20.0,False,False
336006,2007/08,Bangalore,2008-05-05,League,S Sreesanth,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,Kings Xi Punjab,wickets,6.0,127.0,20.0,False,True
336007,2007/08,Chennai,2008-05-06,League,Ac Gilchrist,"Ma Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7.0,145.0,20.0,False,True
