Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2022 Squad,2023 Squad
Shivam Mavi,4000000,BOWLER,6.0,720.0,KKR,GT
Joshua Little,5000000,BOWLER,4.4,528.0,Unsold,GT
Kane Williamson,20000000,BATSMAN,2.0,240.0,SRH,GT
K.S. Bharat,2000000,WICKETKEEPER,1.2,144.0,DC,GT
Mohit Sharma,5000000,BOWLER,0.5,60.0,Unsold,GT
Odean Smith,5000000,ALL-ROUNDER,0.5,60.0,PBKS,GT
Urvil Patel,2000000,WICKETKEEPER,0.2,24.0,Unsold,GT
Rahul Tewatia,0,ALL-ROUNDER,0.0,0.0,GT,GT
Pradeep Sangwan,0,ALL-ROUNDER,0.0,0.0,GT,GT
Rashid Khan,0,BOWLER,0.0,0.0,GT,GT
R. Sai Kishore,0,BOWLER,0.0,0.0,GT,GT
Yash Dayal,0,BOWLER,0.0,0.0,GT,GT
Noor Ahmad,0,BOWLER,0.0,0.0,GT,GT
Wriddhiman Saha,0,WICKETKEEPER,0.0,0.0,GT,GT
Vijay Shankar,0,ALL-ROUNDER,0.0,0.0,GT,GT
Shubman Gill,0,BATSMAN,0.0,0.0,GT,GT
Hardik Pandya,0,ALL-ROUNDER,0.0,0.0,GT,GT
B. Sai Sudharsan,0,ALL-ROUNDER,0.0,0.0,GT,GT
Alzarri Joseph,0,BOWLER,0.0,0.0,GT,GT
Abhinav Sadarangani,0,BATSMAN,0.0,0.0,GT,GT
Darshan Nalkande,0,ALL-ROUNDER,0.0,0.0,GT,GT
David Miller,0,BATSMAN,0.0,0.0,GT,GT
Matthew Wade,0,WICKETKEEPER,0.0,0.0,GT,GT
Jayant Yadav,0,ALL-ROUNDER,0.0,0.0,GT,GT
Mohammad Shami,0,BOWLER,0.0,0.0,GT,GT
Ben Stokes,20000000,ALL-ROUNDER,16.25,1950.0,Unsold,CSK
Kyle Jamieson,10000000,BOWLER,1.0,120.0,Unsold,CSK
Nishant Sindhu,2000000,ALL-ROUNDER,0.6,72.0,Unsold,CSK
Ajinkya Rahane,5000000,BATSMAN,0.5,60.0,KKR,CSK
Bhagath Varma,2000000,ALL-ROUNDER,0.2,24.0,CSK,CSK
Ajay Mandal,2000000,ALL-ROUNDER,0.2,24.0,Unsold,CSK
Shaik Rasheed,2000000,BATSMAN,0.2,24.0,Unsold,CSK
Ravindra Jadeja,0,ALL-ROUNDER,0.0,0.0,CSK,CSK
Rajvardhan Hangargekar,0,ALL-ROUNDER,0.0,0.0,CSK,CSK
Prashant Solanki,0,BOWLER,0.0,0.0,CSK,CSK
Ruturaj Gaikwad,0,BATSMAN,0.0,0.0,CSK,CSK
Tushar Deshpande,0,BOWLER,0.0,0.0,CSK,CSK
Mukesh Choudhary,0,BOWLER,0.0,0.0,CSK,CSK
Subhranshu Senapati,0,BATSMAN,0.0,0.0,CSK,CSK
Simarjeet Singh,0,BOWLER,0.0,0.0,CSK,CSK
Shivam Dube,0,ALL-ROUNDER,0.0,0.0,CSK,CSK
Matheesha Pathirana,0,BOWLER,0.0,0.0,CSK,CSK
Devon Conway,0,BATSMAN,0.0,0.0,CSK,CSK
Deepak Chahar,0,BOWLER,0.0,0.0,CSK,CSK
Ambati Rayudu,0,BATSMAN,0.0,0.0,CSK,CSK
Dwaine Pretorius,0,ALL-ROUNDER,0.0,0.0,CSK,CSK
Maheesh Theekshana,0,BOWLER,0.0,0.0,CSK,CSK
Moeen Ali,0,ALL-ROUNDER,0.0,0.0,CSK,CSK
Mitchell Santner,0,ALL-ROUNDER,0.0,0.0,CSK,CSK
MS Dhoni,0,WICKETKEEPER,0.0,0.0,CSK,CSK
Mukesh Kumar,2000000,BOWLER,5.5,660.0,Unsold,DC
Rilee Rossouw,20000000,BATSMAN,4.6,552.0,Unsold,DC
Manish Pandey,10000000,BATSMAN,2.4,288.0,LSG,DC
Phil Salt,20000000,WICKETKEEPER,2.0,240.0,Unsold,DC
Ishant Sharma,5000000,BOWLER,0.5,60.0,Unsold,DC
Ripal Patel,0,ALL-ROUNDER,0.0,0.0,DC,DC
Pravin Dubey,0,ALL-ROUNDER,0.0,0.0,DC,DC
Rishabh Pant,0,WICKETKEEPER,0.0,0.0,DC,DC
Prithvi Shaw,0,BATSMAN,0.0,0.0,DC,DC
Syed Khaleel Ahmed,0,BOWLER,0.0,0.0,DC,DC
Yash Dhull,0,ALL-ROUNDER,0.0,0.0,DC,DC
Vicky Ostwal,0,ALL-ROUNDER,0.0,0.0,DC,DC
Mustafizur Rahman,0,BOWLER,0.0,0.0,DC,DC
Sarfaraz Khan,0,ALL-ROUNDER,0.0,0.0,DC,DC
Rovman Powell,0,BATSMAN,0.0,0.0,DC,DC
Lalit Yadav,0,ALL-ROUNDER,0.0,0.0,DC,DC
Axar Patel,0,ALL-ROUNDER,0.0,0.0,DC,DC
Anrich Nortje,0,BOWLER,0.0,0.0,DC,DC
Aman Khan (T),0,ALL-ROUNDER,0.0,0.0,DC,DC
Chetan Sakariya,0,BOWLER,0.0,0.0,DC,DC
David Warner,0,BATSMAN,0.0,0.0,DC,DC
Lungisani Ngidi,0,BOWLER,0.0,0.0,DC,DC
Kuldeep Yadav,0,BOWLER,0.0,0.0,DC,DC
Kamlesh Nagarkoti,0,ALL-ROUNDER,0.0,0.0,DC,DC
Mitchell Marsh,0,ALL-ROUNDER,0.0,0.0,DC,DC
Shakib Al Hasan,1500000,ALL-ROUNDER,1.5,180.0,Unsold,KKR
David Wiese,10000000,ALL-ROUNDER,1.0,120.0,Unsold,KKR
N. Jagadeesan,2000000,WICKETKEEPER,0.9,108.0,CSK,KKR
Vaibhav Arora,2000000,BOWLER,0.6,72.0,PBKS,KKR
Litton Das,5000000,WICKETKEEPER,0.5,60.0,Unsold,KKR
Mandeep Singh,5000000,BATSMAN,0.5,60.0,DC,KKR
Kulwant Khejroliya,2000000,BOWLER,0.2,24.0,Unsold,KKR
Suyash Sharma,2000000,BOWLER,0.2,24.0,Unsold,KKR
Sunil Narine,0,BOWLER,0.0,0.0,KKR,KKR
Shreyas Iyer,0,BATSMAN,0.0,0.0,KKR,KKR
Tim Southee,0,BOWLER,0.0,0.0,KKR,KKR
Umesh Yadav,0,BOWLER,0.0,0.0,KKR,KKR
Varun Chakaravarthy,0,BOWLER,0.0,0.0,KKR,KKR
Shardul Thakur (T),0,BOWLER,0.0,0.0,KKR,KKR
Venkatesh Iyer,0,ALL-ROUNDER,0.0,0.0,KKR,KKR
Harshit Rana,0,BOWLER,0.0,0.0,KKR,KKR
Anukul Roy,0,ALL-ROUNDER,0.0,0.0,KKR,KKR
Andre Russell,0,ALL-ROUNDER,0.0,0.0,KKR,KKR
Lockie Ferguson (T),0,BOWLER,0.0,0.0,KKR,KKR
Nitish Rana,0,ALL-ROUNDER,0.0,0.0,KKR,KKR
Rahmanullah Gurbaz (T),0,WICKETKEEPER,0.0,0.0,KKR,KKR
Rinku Singh,0,BATSMAN,0.0,0.0,KKR,KKR
Sam Curran,20000000,ALL-ROUNDER,18.5,2220.0,Unsold,PBKS
Sikandar Raza,5000000,ALL-ROUNDER,0.5,60.0,Unsold,PBKS
Harpreet Bhatia,2000000,BATSMAN,0.4,48.0,Unsold,PBKS
Mohit Rathee,2000000,ALL-ROUNDER,0.2,24.0,Unsold,PBKS
Vidwath Kaverappa,2000000,BOWLER,0.2,24.0,Unsold,PBKS
Shivam Singh,5000000,WICKETKEEPER,0.2,24.0,Unsold,PBKS
Liam Livingstone,0,ALL-ROUNDER,0.0,0.0,PBKS,PBKS
Baltej Singh Dhanda,0,BOWLER,0.0,0.0,PBKS,PBKS
Atharva Taide,0,ALL-ROUNDER,0.0,0.0,PBKS,PBKS
Bhanuka Rajapakse,0,BATSMAN,0.0,0.0,PBKS,PBKS
Jitesh Sharma,0,WICKETKEEPER,0.0,0.0,PBKS,PBKS
Nathan Ellis,0,BOWLER,0.0,0.0,PBKS,PBKS
Jonny Bairstow,0,WICKETKEEPER,0.0,0.0,PBKS,PBKS
Kagiso Rabada,0,BOWLER,0.0,0.0,PBKS,PBKS
Harpreet Brar,0,ALL-ROUNDER,0.0,0.0,PBKS,PBKS
