,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2023 Squad,Team
0,Spencer Johnson,5000000,BOWLER,10.0,1200.0,,Gujarat Titans
1,Shahrukh Khan,4000000,ALL-ROUNDER,7.4,888.0,PBKS,Gujarat Titans
2,Umesh Yadav,20000000,BOWLER,5.8,696.0,KKR,Gujarat Titans
3,Robin Minz,2000000,WICKETKEEPER,3.6,432.0,,Gujarat Titans
4,Sushant Mishra,2000000,BOWLER,2.2,264.0,,Gujarat Titans
5,Kartik Tyagi,2000000,BOWLER,0.6,72.0,SRH,Gujarat Titans
6,Azmatullah Omarzai,5000000,ALL-ROUNDER,0.5,60.0,,Gujarat Titans
7,Manav Suthar,2000000,BOWLER,0.2,24.0,,Gujarat Titans
8,David Miller,Retained,,0.0,0.0,,Gujarat Titans
9,Shubman Gill,Retained,,0.0,0.0,,Gujarat Titans
10,Matthew Wade,Retained,,0.0,0.0,,Gujarat Titans
11,Wriddhiman Saha,Retained,,0.0,0.0,,Gujarat Titans
12,Kane Williamson,Retained,,0.0,0.0,,Gujarat Titans
13,Abhinav Manohar,Retained,,0.0,0.0,,Gujarat Titans
14,B. Sai Sudharsan,Retained,,0.0,0.0,,Gujarat Titans
15,Darshan Nalkande,Retained,,0.0,0.0,,Gujarat Titans
16,Vijay Shankar,Retained,,0.0,0.0,,Gujarat Titans
17,Jayant Yadav,Retained,,0.0,0.0,,Gujarat Titans
18,Rahul Tewatia,Retained,,0.0,0.0,,Gujarat Titans
19,Mohammed Shami,Retained,,0.0,0.0,,Gujarat Titans
20,Noor Ahmad,Retained,,0.0,0.0,,Gujarat Titans
21,R. Sai Kishore,Retained,,0.0,0.0,,Gujarat Titans
22,Rashid Khan,Retained,,0.0,0.0,,Gujarat Titans
23,Joshua Little,Retained,,0.0,0.0,,Gujarat Titans
24,Mohit Sharma,Retained,,0.0,0.0,,Gujarat Titans
25,Daryl Mitchell,10000000,ALL-ROUNDER,14.0,1680.0,,Chennai Super Kings
26,Sameer Rizvi,2000000,BATTER,8.4,1008.0,,Chennai Super Kings
27,Shardul Thakur,20000000,ALL-ROUNDER,4.0,480.0,KKR,Chennai Super Kings
28,Mustafizur Rahman,20000000,BOWLER,2.0,240.0,DC,Chennai Super Kings
29,Rachin Ravindra,5000000,ALL-ROUNDER,1.8,216.0,,Chennai Super Kings
30,Avanish Rao Aravelly,2000000,WICKETKEEPER,0.2,24.0,,Chennai Super Kings
31,MS Dhoni,Retained,,0.0,0.0,,Chennai Super Kings
32,Moeen Ali,Retained,,0.0,0.0,,Chennai Super Kings
33,Deepak Chahar,Retained,,0.0,0.0,,Chennai Super Kings
34,Devon Conway,Retained,,0.0,0.0,,Chennai Super Kings
35,Tushar Deshpande,Retained,,0.0,0.0,,Chennai Super Kings
36,Shivam Dube,Retained,,0.0,0.0,,Chennai Super Kings
37,Ruturaj Gaikwad,Retained,,0.0,0.0,,Chennai Super Kings
38,Rajvardhan Hangargekar,Retained,,0.0,0.0,,Chennai Super Kings
39,Ravindra Jadeja,Retained,,0.0,0.0,,Chennai Super Kings
40,Ajay Mandal,Retained,,0.0,0.0,,Chennai Super Kings
41,Mukesh Choudhary,Retained,,0.0,0.0,,Chennai Super Kings
42,Matheesha Pathirana,Retained,,0.0,0.0,,Chennai Super Kings
43,Ajinkya Rahane,Retained,,0.0,0.0,,Chennai Super Kings
44,Shaik Rasheed,Retained,,0.0,0.0,,Chennai Super Kings
45,Mitchell Santner,Retained,,0.0,0.0,,Chennai Super Kings
46,Simarjeet Singh,Retained,,0.0,0.0,,Chennai Super Kings
47,Nishant Sindhu,Retained,,0.0,0.0,,Chennai Super Kings
48,Prashant Solanki,Retained,,0.0,0.0,,Chennai Super Kings
49,Maheesh Theekshana,Retained,,0.0,0.0,,Chennai Super Kings
50,Kumar Kushagra,2000000,WICKETKEEPER,7.2,864.0,,Delhi Capital
51,Jhye Richardson,15000000,BOWLER,5.0,600.0,,Delhi Capital
52,Harry Brook,20000000,BATTER,4.0,480.0,SRH,Delhi Capital
53,Sumit Kumar,2000000,ALL-ROUNDER,1.0,120.0,,Delhi Capital
54,Shai Hope,7500000,WICKETKEEPER,0.75,90.0,,Delhi Capital
55,Tristan Stubbs,5000000,WICKETKEEPER,0.5,60.0,MI,Delhi Capital
56,Ricky Bhui,2000000,WICKETKEEPER,0.2,24.0,,Delhi Capital
57,Rasikh Dar,2000000,BOWLER,0.2,24.0,,Delhi Capital
58,Swastik Chhikara,2000000,BATTER,0.2,24.0,,Delhi Capital
59,Rishabh Pant,Retained,,0.0,0.0,,Delhi Capital
60,Pravin Dubey,Retained,,0.0,0.0,,Delhi Capital
61,David Warner,Retained,,0.0,0.0,,Delhi Capital
62,Vicky Ostwal,Retained,,0.0,0.0,,Delhi Capital
63,Prithvi Shaw,Retained,,0.0,0.0,,Delhi Capital
64,Anrich Nortje,Retained,,0.0,0.0,,Delhi Capital
65,Abishek Porel,Retained,,0.0,0.0,,Delhi Capital
66,Kuldeep Yadav,Retained,,0.0,0.0,,Delhi Capital
67,Axar Patel,Retained,,0.0,0.0,,Delhi Capital
68,Lungi Ngidi,Retained,,0.0,0.0,,Delhi Capital
69,Lalit Yadav,Retained,,0.0,0.0,,Delhi Capital
70,Khaleel Ahmed,Retained,,0.0,0.0,,Delhi Capital
71,Mitchell Marsh,Retained,,0.0,0.0,,Delhi Capital
72,Ishant Sharma,Retained,,0.0,0.0,,Delhi Capital
73,Yash Dhull,Retained,,0.0,0.0,,Delhi Capital
74,Mukesh Kumar,Retained,,0.0,0.0,,Delhi Capital
75,Mitchell Starc,20000000,BOWLER,24.75,2970.0,,Kolkata Knight Riders
76,Mujeeb Rahman,20000000,BOWLER,2.0,240.0,,Kolkata Knight Riders
77,Sherfane Rutherford,15000000,BATTER,1.5,180.0,,Kolkata Knight Riders
78,Gus Atkinson,10000000,BOWLER,1.0,120.0,,Kolkata Knight Riders
79,Manish Pandey,5000000,BATTER,0.5,60.0,DC,Kolkata Knight Riders
80,K.S. Bharat,5000000,WICKETKEEPER,0.5,60.0,GT,Kolkata Knight Riders
81,Chetan Sakariya,5000000,BOWLER,0.5,60.0,DC,Kolkata Knight Riders
82,Angkrish Raghuvanshi,2000000,BATTER,0.2,24.0,,Kolkata Knight Riders
83,Ramandeep Singh,2000000,ALL-ROUNDER,0.2,24.0,MI,Kolkata Knight Riders
84,Sakib Hussain,2000000,BOWLER,0.2,24.0,,Kolkata Knight Riders
85,Nitish Rana,Retained,,0.0,0.0,,Kolkata Knight Riders
86,Rinku Singh,Retained,,0.0,0.0,,Kolkata Knight Riders
87,Rahmanullah Gurbaz,Retained,,0.0,0.0,,Kolkata Knight Riders
88,Shreyas Iyer,Retained,,0.0,0.0,,Kolkata Knight Riders
89,Jason Roy,Retained,,0.0,0.0,,Kolkata Knight Riders
90,Sunil Narine,Retained,,0.0,0.0,,Kolkata Knight Riders
91,Suyash Sharma,Retained,,0.0,0.0,,Kolkata Knight Riders
92,Anukul Roy,Retained,,0.0,0.0,,Kolkata Knight Riders
93,Andre Russell,Retained,,0.0,0.0,,Kolkata Knight Riders
94,Venkatesh Iyer,Retained,,0.0,0.0,,Kolkata Knight Riders
95,Harshit Rana,Retained,,0.0,0.0,,Kolkata Knight Riders
96,Vaibhav Arora,Retained,,0.0,0.0,,Kolkata Knight Riders
97,Varun Chakaravarthy,Retained,,0.0,0.0,,Kolkata Knight Riders
98,Harshal Patel,20000000,ALL-ROUNDER,11.75,1410.0,RCB,Punjab Kings
99,Rilee Rossouw,20000000,BATTER,8.0,960.0,DC,Punjab Kings
100,Chris Woakes,20000000,ALL-ROUNDER,4.2,504.0,,Punjab Kings
101,Ashutosh Sharma,2000000,ALL-ROUNDER,0.2,24.0,,Punjab Kings
