Player,Base Price,Type,Cost IN ₹ (CR.),Cost IN $ (K),2023 Squad,Team
Spencer Johnson,5000000,Bowler,10.0,1200.0,Uncapped,Gujarat Titans
Shahrukh Khan,4000000,All-Rounder,7.4,888.0,PBKS,Gujarat Titans
Umesh Yadav,20000000,Bowler,5.8,696.0,KKR,Gujarat Titans
Robin Minz,2000000,Wicketkeeper,3.6,432.0,Uncapped,Gujarat Titans
Sushant Mishra,2000000,Bowler,2.2,264.0,Uncapped,Gujarat Titans
Kartik Tyagi,2000000,Bowler,0.6,72.0,SRH,Gujarat Titans
Azmatullah Omarzai,5000000,All-Rounder,0.5,60.0,Uncapped,Gujarat Titans
Manav Suthar,2000000,Bowler,0.2,24.0,Uncapped,Gujarat Titans
David Miller,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Shubman Gill,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Matthew Wade,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Wriddhiman Saha,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Kane Williamson,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Abhinav Manohar,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
B. Sai Sudharsan,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Darshan Nalkande,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Vijay Shankar,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Jayant Yadav,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Rahul Tewatia,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Mohammed Shami,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Noor Ahmad,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
R. Sai Kishore,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Rashid Khan,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Joshua Little,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Mohit Sharma,Retained,Nan,0.0,0.0,Uncapped,Gujarat Titans
Daryl Mitchell,10000000,All-Rounder,14.0,1680.0,Uncapped,Chennai Super Kings
Sameer Rizvi,2000000,Batter,8.4,1008.0,Uncapped,Chennai Super Kings
Shardul Thakur,20000000,All-Rounder,4.0,480.0,KKR,Chennai Super Kings
Mustafizur Rahman,20000000,Bowler,2.0,240.0,DC,Chennai Super Kings
Rachin Ravindra,5000000,All-Rounder,1.8,216.0,Uncapped,Chennai Super Kings
Avanish Rao Aravelly,2000000,Wicketkeeper,0.2,24.0,Uncapped,Chennai Super Kings
MS Dhoni,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Moeen Ali,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Deepak Chahar,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Devon Conway,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Tushar Deshpande,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Shivam Dube,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Ruturaj Gaikwad,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Rajvardhan Hangargekar,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Ravindra Jadeja,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Ajay Mandal,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Mukesh Choudhary,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Matheesha Pathirana,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Ajinkya Rahane,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Shaik Rasheed,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Mitchell Santner,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Simarjeet Singh,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Nishant Sindhu,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Prashant Solanki,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Maheesh Theekshana,Retained,Nan,0.0,0.0,Uncapped,Chennai Super Kings
Kumar Kushagra,2000000,Wicketkeeper,7.2,864.0,Uncapped,Delhi Capital
Jhye Richardson,15000000,Bowler,5.0,600.0,Uncapped,Delhi Capital
Harry Brook,20000000,Batter,4.0,480.0,SRH,Delhi Capital
Sumit Kumar,2000000,All-Rounder,1.0,120.0,Uncapped,Delhi Capital
Shai Hope,7500000,Wicketkeeper,0.75,90.0,Uncapped,Delhi Capital
Tristan Stubbs,5000000,Wicketkeeper,0.5,60.0,MI,Delhi Capital
Ricky Bhui,2000000,Wicketkeeper,0.2,24.0,Uncapped,Delhi Capital
Rasikh Dar,2000000,Bowler,0.2,24.0,Uncapped,Delhi Capital
Swastik Chhikara,2000000,Batter,0.2,24.0,Uncapped,Delhi Capital
Rishabh Pant,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Pravin Dubey,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
David Warner,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Vicky Ostwal,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Prithvi Shaw,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Anrich Nortje,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Abishek Porel,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Kuldeep Yadav,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Axar Patel,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Lungi Ngidi,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Lalit Yadav,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Khaleel Ahmed,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Mitchell Marsh,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Ishant Sharma,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Yash Dhull,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Mukesh Kumar,Retained,Nan,0.0,0.0,Uncapped,Delhi Capital
Mitchell Starc,20000000,Bowler,24.75,2970.0,Uncapped,Kolkata Knight Riders
Mujeeb Rahman,20000000,Bowler,2.0,240.0,Uncapped,Kolkata Knight Riders
Sherfane Rutherford,15000000,Batter,1.5,180.0,Uncapped,Kolkata Knight Riders
Gus Atkinson,10000000,Bowler,1.0,120.0,Uncapped,Kolkata Knight Riders
Manish Pandey,5000000,Batter,0.5,60.0,DC,Kolkata Knight Riders
K.S. Bharat,5000000,Wicketkeeper,0.5,60.0,GT,Kolkata Knight Riders
Chetan Sakariya,5000000,Bowler,0.5,60.0,DC,Kolkata Knight Riders
Angkrish Raghuvanshi,2000000,Batter,0.2,24.0,Uncapped,Kolkata Knight Riders
Ramandeep Singh,2000000,All-Rounder,0.2,24.0,MI,Kolkata Knight Riders
Sakib Hussain,2000000,Bowler,0.2,24.0,Uncapped,Kolkata Knight Riders
Nitish Rana,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Rinku Singh,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Rahmanullah Gurbaz,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Shreyas Iyer,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Jason Roy,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Sunil Narine,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Suyash Sharma,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Anukul Roy,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Andre Russell,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Venkatesh Iyer,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Harshit Rana,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Vaibhav Arora,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Varun Chakaravarthy,Retained,Nan,0.0,0.0,Uncapped,Kolkata Knight Riders
Harshal Patel,20000000,All-Rounder,11.75,1410.0,RCB,Punjab Kings
Rilee Rossouw,20000000,Batter,8.0,960.0,DC,Punjab Kings
Chris Woakes,20000000,All-Rounder,4.2,504.0,Uncapped,Punjab Kings
Ashutosh Sharma,2000000,All-Rounder,0.2,24.0,Uncapped,Punjab Kings
Vishwanath Pratap Singh,2000000,All-Rounder,0.2,24.0,Uncapped,Punjab Kings
Shashank Singh,2000000,All-Rounder,0.2,24.0,Uncapped,Punjab Kings
Tanay Thyagarajann,2000000,All-Rounder,0.2,24.0,Uncapped,Punjab Kings
Prince Choudhary,2000000,Bowler,0.2,24.0,Uncapped,Punjab Kings
Shikhar Dhawan,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Liam Livingstone,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Jonny Bairstow,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Gurnoor Singh Brar,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Jitesh Sharma,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Shivam Singh,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Rahul Chahar,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Prabhsimran Singh,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Matthew Short,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Arshdeep Singh,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Harpreet Bhatia,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Harpreet Brar,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Atharva Taide,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Vidwath Kaverappa,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Rishi Dhawan,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Kagiso Rabada,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
Sam Curran,Retained,Nan,0.0,0.0,Uncapped,Punjab Kings
