Players,Team,Type,Base,Sold
Virat Kohli,RCB,BAT,0,21.0
Rajat Patidar,RCB,BAT,0,11.0
Yash Dayal,RCB,BOWL,0,5.0
Jasprit Bumrah,MI,BOWL,0,18.0
Suryakumar Yadav,MI,BAT,0,16.35
Hardik Pandya,MI,AR,0,16.35
Rohit Sharma,MI,BAT,0,16.3
Tilak Varma,MI,AR,0,8.0
Heinrich Klaasen,SRH,BAT,0,23.0
Pat Cummins,SRH,AR,0,18.0
Abhishek Sharma,SRH,AR,0,14.0
Travis Head,SRH,BAT,0,14.0
Nitish Kumar Reddy,SRH,AR,0,6.0
Ruturaj Gaikwad,CSK,BAT,0,18.0
Ravindra Jadeja,CSK,AR,0,18.0
Matheesha Pathirana,CSK,BOWL,0,13.0
Shivam Dube,CSK,AR,0,12.0
MS Dhoni,CSK,BAT,0,4.0
Axar Patel,DC,AR,0,16.5
Kuldeep Yadav,DC,BOWL,0,13.25
Tristan Stubbs,DC,BAT,0,10.0
Abishek Porel,DC,BAT,0,4.0
Rinku Singh,KKR,BAT,0,13.0
Varun Chakravarthy,KKR,AR,0,12.0
Sunil Narine,KKR,BOWL,0,12.0
Andre Russell,KKR,AR,0,12.0
Harshit Rana,KKR,BOWL,0,4.0
Ramandeep Singh,KKR,AR,0,4.0
Sanju Samson,RR,BAT,0,18.0
Yashasvi Jaiswal,RR,AR,0,18.0
Riyan Parag,RR,AR,0,14.0
Dhruv Jurel,RR,BAT,0,14.0
Shimron Hetmyer,RR,BAT,0,11.0
Sandeep Sharma,RR,BOWL,0,4.0
Rashid Khan,GT,BOWL,0,18.0
Shubman Gill,GT,BAT,0,16.5
Sai Sudharsan,GT,AR,0,8.5
Rahul Tewatia,GT,AR,0,4.0
M Shahrukh Khan,GT,AR,0,4.0
Nicholas Pooran,LSG,BAT,0,21.0
Ravi Bishnoi,LSG,BOWL,0,11.0
Mayank Yadav,LSG,BOWL,0,11.0
Mohsin Khan,LSG,BOWL,0,4.0
Ayush Badoni,LSG,AR,0,4.0
Shashank Singh,PBKS,AR,0,5.5
Prabhsimran Singh,PBKS,BAT,0,4.0
Jos Buttler,GT,BAT,2,15.75
Shreyas Iyer,PBKS,BAT,2,26.75
Rishabh Pant,LSG,BAT,2,27.0
Kagiso Rabada,GT,BOWL,2,10.75
Arshdeep Singh,PBKS,BOWL,2,18.0
Mitchell Starc,DC,BOWL,2,11.75
Yuzvendra Chahal,PBKS,BOWL,2,18.0
Liam Livingstone,RCB,AR,2,8.75
David Miller,LSG,BAT,1,7.5
KL Rahul,DC,BAT,2,14.0
Mohammed Shami,SRH,BOWL,2,10.0
Mohammed Siraj,GT,BOWL,2,12.25
Harry Brook,DC,BAT,2,6.25
Devon Conway,CSK,BAT,2,6.25
Jake Fraser-McGurk,DC,BAT,2,9.0
Aiden Markram,LSG,BAT,2,2.0
