Id,Name,Year,Final Price,Role,Nationality,Team,Ent,Age,Matches,LMatches,Runs,LRuns,HS,LHS,Ave,LAve,StrRate,LStrRate,Fifties,LFifties,Hundreds,LHundreds,Fours,LFours,Sixes,LSixes,Catches,LCatches,Stumps,LStumps,Wkts,LWkts,Econ,LEcon,FourWkts,LFourWkts,FiveWkts,LFiveWkts,Indian,Specialist,Status
1,AB de Villiers,2008,12048000,Wicketkeeper batsman,South African,DD,0,24,6,0,95,0,26,0,19,0,96.93,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,218
1,AB de Villiers,2009,14736000,Wicketkeeper batsman,South African,DD,0,25,15,6,465,95,105,26,51.66,19,130.98,96.9300003051758,3,0,1,0,39,5,12,1,13,3,0,0,0,0,0,0,0,0,0,0,0,1,329
1,AB de Villiers,2010,13887000,Wicketkeeper batsman,South African,DD,0,26,7,15,111,465,45,105,15.85,51.6599998474121,93.27,130.979995727539,0,3,0,1,7,39,0,12,6,13,0,0,0,0,0,0,0,0,0,0,0,1,885
1,AB de Villiers,2011,50600000,Wicketkeeper batsman,South African,RCB,0,27,16,7,312,111,65,45,34.66,15.8500003814697,128.39,93.2699966430664,2,0,0,0,21,7,14,0,7,6,2,0,0,0,0,0,0,0,0,0,0,1,1316
1,AB de Villiers,2012,55297000,Wicketkeeper batsman,South African,RCB,0,28,16,16,319,312,64,65,39.87,34.6599998474121,161.11,128.389999389648,3,2,0,0,26,21,15,14,4,7,5,2,0,0,0,0,0,0,0,0,0,1,1075
1,AB de Villiers,2013,58597000,Wicketkeeper batsman,South African,RCB,0,29,14,16,360,319,64,64,36,39.8699989318848,164.38,161.110000610352,2,3,0,0,34,26,15,15,8,4,0,5,0,0,0,0,0,0,0,0,0,1,3764
1,AB de Villiers,2014,95000000,Wicketkeeper batsman,South African,RCB,0,30,14,14,395,360,89,64,35.9,36,158.63,164.380004882813,3,2,0,0,26,34,24,15,7,8,0,0,0,0,0,0,0,0,0,0,0,1,4415
1,AB de Villiers,2015,95000000,Wicketkeeper batsman,South African,RCB,0,31,16,14,513,395,133,89,46.63,35.9000015258789,175.08,158.630004882813,2,3,1,0,60,26,22,24,8,7,0,0,0,0,0,0,0,0,0,0,0,1,5281
1,AB de Villiers,2016,95000000,Wicketkeeper batsman,South African,RCB,0,32,16,16,687,513,129,133,52.84,46.6300010681152,168.79,175.080001831055,6,2,1,1,57,60,37,22,19,8,0,0,0,0,0,0,0,0,0,0,0,1,12131
1,AB de Villiers,2017,95000000,Wicketkeeper batsman,South African,RCB,0,33,9,16,216,687,89,129,27,52.8400001525879,132.51,168.789993286133,1,6,0,1,12,57,16,37,6,19,0,0,0,0,0,0,0,0,0,0,0,1,7467
