POS,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year
1,Mohammad Hafeez,4,8,1,14,2.0,24.0,DEC,Eden Gardens,2008-04-20,2008
2,Ishant Sharma,4,9,2,14,2.25,12.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
3,Brett Lee,4,9,1,17,2.25,24.0,MI,IS Bindra Stadium,2008-04-25,2008
4,Shaun Pollock,4,9,1,17,2.25,24.0,CSK,Wankhede Stadium,2008-05-14,2008
5,Dominic Thornely,3,7,2,12,2.33,9.0,KKR,Wankhede Stadium,2008-05-16,2008
6,Sourav Ganguly,3,7,1,10,2.33,18.0,RCB,Eden Gardens,2008-05-08,2008
7,Sohail Tanvir,4,10,3,18,2.5,8.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
8,Irfan Pathan,4,10,1,17,2.5,24.0,RR,IS Bindra Stadium,2008-05-28,2008
9,Siddharth Trivedi,3,8,1,10,2.66,18.0,DEC,Sawai Mansingh Stadium,2008-05-09,2008
10,Manpreet Gony,4,11,2,13,2.75,12.0,RCB,Chidambaram,2008-05-21,2008
11,MF Maharoof,4,11,2,10,2.75,12.0,RR,Arun Jaitley Stadium,2008-04-19,2008
12,Shaun Pollock,4,12,3,17,3.0,8.0,KKR,Wankhede Stadium,2008-05-16,2008
13,Chaminda Vaas,3,9,2,11,3.0,9.0,KKR,Eden Gardens,2008-04-20,2008
14,Ishant Sharma,3,9,1,12,3.0,18.0,DEC,Eden Gardens,2008-04-20,2008
15,Ashok Dinda,4,12,1,15,3.0,24.0,MI,Eden Gardens,2008-04-29,2008
16,Yusuf Pathan,3,9,0,10,3.0,0.0,MI,Sawai Mansingh Stadium,2008-05-26,2008
17,Muttiah Muralitharan,4,12,0,14,3.0,0.0,KKR,Chidambaram,2008-04-26,2008
18,Glenn McGrath,4,12,0,16,3.0,0.0,RR,Sawai Mansingh Stadium,2008-05-11,2008
19,Shane Watson,2,6,0,7,3.0,0.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
20,MF Maharoof,4,13,2,11,3.25,12.0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
21,Shane Watson,3,10,3,12,3.33,6.0,DC,Wankhede Stadium,2008-05-30,2008
22,Sohail Tanvir,4,14,6,16,3.5,4.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
23,Sohail Tanvir,4,14,4,15,3.5,6.0,MI,Sawai Mansingh Stadium,2008-05-26,2008
24,Sanath Jayasuriya,4,14,3,14,3.5,8.0,KKR,Eden Gardens,2008-04-29,2008
25,Anil Kumble,4,14,3,13,3.5,8.0,CSK,Chidambaram,2008-05-21,2008
