POS,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date,Year
1,Sohail Tanvir,4.0,10,3,0,18,8.0,RCB,Sawai Mansingh Stadium,2008-05-17,2008
2,Dale Steyn,4.0,28,2,0,18,12.0,CSK,Chidambaram,2008-05-21,2008
3,Brett Lee,4.0,9,1,0,17,24.0,MI,IS Bindra Stadium,2008-04-25,2008
4,Shaun Pollock,4.0,9,1,1,17,24.0,CSK,Wankhede Stadium,2008-05-14,2008
5,Irfan Pathan,4.0,10,1,0,17,24.0,RR,IS Bindra Stadium,2008-05-28,2008
6,Shaun Pollock,4.0,12,3,0,17,8.0,KKR,Wankhede Stadium,2008-05-16,2008
7,Dale Steyn,4.0,14,1,0,17,24.0,MI,M. Chinnaswamy Stadium,2008-05-28,2008
8,Shanthakumaran Sreesanth,4.0,16,2,0,17,12.0,RCB,M. Chinnaswamy Stadium,2008-05-05,2008
9,Shane Watson,4.0,19,1,0,17,24.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
10,Vinay Kumar,4.0,27,3,0,17,8.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
11,Glenn McGrath,4.0,12,0,0,16,0.0,RR,Sawai Mansingh Stadium,2008-05-11,2008
12,Sohail Tanvir,4.0,14,6,0,16,4.0,CSK,Sawai Mansingh Stadium,2008-05-04,2008
13,Manpreet Gony,4.0,14,2,1,16,12.0,PBKS,Wankhede Stadium,2008-05-31,2008
14,Glenn McGrath,4.0,15,2,0,16,12.0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
15,Munaf Patel,4.0,17,3,0,16,8.0,DC,Wankhede Stadium,2008-05-30,2008
16,Dilhara Fernando,4.0,18,4,0,16,6.0,RCB,M. Chinnaswamy Stadium,2008-05-28,2008
17,Mohammad Asif,4.0,19,2,0,16,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
18,Glenn McGrath,4.0,21,1,1,16,24.0,RR,Arun Jaitley Stadium,2008-04-19,2008
19,Ashok Dinda,4.0,12,1,0,15,24.0,MI,Eden Gardens,2008-04-29,2008
20,Sohail Tanvir,4.0,14,4,0,15,6.0,MI,Sawai Mansingh Stadium,2008-05-26,2008
21,Shaun Pollock,4.0,16,2,0,15,12.0,DC,DY Patil Stadium,2008-05-04,2008
22,Piyush Chawla,4.0,16,2,0,15,12.0,MI,IS Bindra Stadium,2008-04-25,2008
23,Irfan Pathan,4.0,18,2,0,15,12.0,KKR,IS Bindra Stadium,2008-05-03,2008
24,Irfan Pathan,4.0,19,2,1,15,12.0,MI,IS Bindra Stadium,2008-04-25,2008
25,Shane Watson,4.0,20,2,0,15,12.0,RCB,M. Chinnaswamy Stadium,2008-04-26,2008
26,Glenn McGrath,4.0,22,0,1,15,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
27,Ajit Agarkar,4.0,25,3,0,15,8.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
28,Praveen Kumar,4.0,26,1,0,15,24.0,CSK,Chidambaram,2008-05-21,2008
29,Mohammad Hafeez,4.0,8,1,0,14,24.0,DEC,Eden Gardens,2008-04-20,2008
30,Ishant Sharma,4.0,9,2,0,14,12.0,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
31,Muttiah Muralitharan,4.0,12,0,0,14,0.0,KKR,Chidambaram,2008-04-26,2008
32,Sanath Jayasuriya,4.0,14,3,1,14,8.0,KKR,Eden Gardens,2008-04-29,2008
33,RP Singh,4.0,15,2,1,14,12.0,MI,DY Patil Stadium,2008-04-27,2008
34,Irfan Pathan,3.2,13,1,0,14,20.0,RCB,M. Chinnaswamy Stadium,2008-05-05,2008
35,Dale Steyn,4.0,16,0,0,14,0.0,PBKS,M. Chinnaswamy Stadium,2008-05-05,2008
36,Manpreet Gony,4.0,18,1,1,14,24.0,MI,Chidambaram,2008-04-23,2008
37,Murali Kartik,3.4,17,3,0,14,7.33,DEC,Eden Gardens,2008-04-20,2008
38,Scott Styris,4.0,19,0,0,14,0.0,KKR,Eden Gardens,2008-04-20,2008
39,Makhaya Ntini,4.0,21,4,0,14,6.0,KKR,Eden Gardens,2008-05-18,2008
40,Munaf Patel,4.0,22,2,1,14,12.0,KKR,Eden Gardens,2008-05-20,2008
