POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
1,Kumar Sangakkara,94,56,167.85,13,1,MI,IS Bindra Stadium,2008-04-25,2008
2,Matthew Hayden,81,46,176.08,12,2,MI,Chidambaram,2008-04-23,2008
3,Sachin Tendulkar,65,46,141.3,12,0,PBKS,Wankhede Stadium,2008-05-21,2008
4,Andrew Symonds,117,53,220.75,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
5,Shaun Marsh,115,69,166.66,11,7,RR,IS Bindra Stadium,2008-05-28,2008
6,Gautam Gambhir,80,49,163.26,11,1,CSK,Arun Jaitley Stadium,2008-05-08,2008
7,Sourav Ganguly,91,57,159.64,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
8,Gautam Gambhir,86,54,159.25,11,1,RCB,Arun Jaitley Stadium,2008-04-30,2008
9,Simon Katich,75,52,144.23,11,1,DC,IS Bindra Stadium,2008-04-27,2008
10,Shaun Marsh,84,62,135.48,11,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-01,2008
11,Virender Sehwag,94,41,229.26,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
12,Brendon McCullum,158,73,216.43,10,13,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
13,James Hopes,71,33,215.15,10,3,CSK,IS Bindra Stadium,2008-04-19,2008
14,Rohit Sharma,76,42,180.95,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2008-05-01,2008
15,Swapnil Asnodkar,60,34,176.47,10,1,KKR,Sawai Mansingh Stadium,2008-05-01,2008
16,Luke Pomersbach,79,50,158.0,10,3,MI,Wankhede Stadium,2008-05-21,2008
17,Niraj Patel,57,39,146.15,10,0,PBKS,IS Bindra Stadium,2008-05-28,2008
18,Salman Butt,73,54,135.18,10,1,CSK,Eden Gardens,2008-05-18,2008
19,Virender Sehwag,47,19,247.36,9,1,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
20,Sanath Jayasuriya,114,48,237.5,9,11,CSK,Wankhede Stadium,2008-05-14,2008
21,Adam Gilchrist,109,47,231.91,9,10,MI,DY Patil Stadium,2008-04-27,2008
22,MS Dhoni,65,30,216.66,9,3,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
23,Yusuf Pathan,68,37,183.78,9,2,DEC,Sawai Mansingh Stadium,2008-05-09,2008
24,Graeme Smith,91,51,178.43,9,4,CSK,Chidambaram,2008-05-24,2008
25,Graeme Smith,71,45,157.77,9,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
26,Shaun Marsh,74,51,145.09,9,2,RCB,IS Bindra Stadium,2008-05-12,2008
27,Rahul Dravid,66,51,129.41,9,1,PBKS,M. Chinnaswamy Stadium,2008-05-05,2008
28,Adam Gilchrist,61,49,124.48,9,1,RR,Sawai Mansingh Stadium,2008-05-09,2008
29,Michael Hussey,116,54,214.81,8,9,PBKS,IS Bindra Stadium,2008-04-19,2008
