POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Year
1,RP Singh,4.0,59,1,24.0,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
2,Palani Amarnath,4.0,57,1,24.0,MI,Chidambaram,2008-04-23,2008
3,Vikram Singh,4.0,56,0,0.0,MI,Wankhede Stadium,2008-05-21,2008
4,Munaf Patel,4.0,55,0,0.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
5,Munaf Patel,4.0,55,1,24.0,CSK,Chidambaram,2008-05-24,2008
6,Jacob Oram,4.0,53,0,0.0,MI,Chidambaram,2008-04-23,2008
7,James Hopes,4.0,53,1,24.0,CSK,IS Bindra Stadium,2008-04-19,2008
8,Mohammad Asif,4.0,51,0,0.0,DEC,Arun Jaitley Stadium,2008-05-15,2008
9,Pradeep Sangwan,3.0,51,0,0.0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
10,RP Singh,4.0,50,0,0.0,DC,Arun Jaitley Stadium,2008-05-15,2008
11,Brett Geeves,4.0,50,1,24.0,MI,Arun Jaitley Stadium,2008-05-24,2008
12,Yo Mahesh,4.0,50,2,12.0,RR,Wankhede Stadium,2008-05-30,2008
13,Ishant Sharma,4.0,49,0,0.0,PBKS,Eden Gardens,2008-05-25,2008
14,Siddharth Trivedi,4.0,48,0,0.0,PBKS,IS Bindra Stadium,2008-05-28,2008
15,Jacques Kallis,4.0,48,1,24.0,KKR,M. Chinnaswamy Stadium,2008-04-18,2008
16,Pankaj Singh,3.0,48,0,0.0,PBKS,IS Bindra Stadium,2008-05-28,2008
17,Anil Kumble,4.0,47,0,0.0,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
18,Shane Warne,4.0,47,0,0.0,DC,Sawai Mansingh Stadium,2008-05-11,2008
19,Rajat Bhatia,4.0,47,0,0.0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
20,Joginder Sharma,4.0,47,1,24.0,PBKS,IS Bindra Stadium,2008-04-19,2008
21,Pragyan Ojha,4.0,47,1,24.0,RR,Sawai Mansingh Stadium,2008-05-09,2008
22,Shane Warne,4.0,47,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
23,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,2008-04-19,2008
24,Zaheer Khan,4.0,46,0,0.0,RR,Sawai Mansingh Stadium,2008-05-17,2008
25,Ajit Agarkar,4.0,46,1,24.0,RR,Sawai Mansingh Stadium,2008-05-01,2008
26,Mohammad Asif,4.0,46,1,24.0,MI,DY Patil Stadium,2008-05-04,2008
27,Andrew Symonds,2.5,46,0,0.0,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
28,Anil Kumble,4.0,45,0,0.0,MI,M. Chinnaswamy Stadium,2008-05-28,2008
29,Ashish Nehra,4.0,45,1,24.0,RCB,Wankhede Stadium,2008-04-20,2008
30,Lakshmipathy Balaji,3.0,45,0,0.0,RR,Chidambaram,2008-05-24,2008
31,Joginder Sharma,3.0,45,0,0.0,DEC,Chidambaram,2008-05-06,2008
32,RP Singh,4.0,44,1,24.0,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
33,Albie Morkel,3.0,44,0,0.0,MI,Wankhede Stadium,2008-05-14,2008
34,Shanthakumaran Sreesanth,3.0,44,1,18.0,RR,IS Bindra Stadium,2008-05-28,2008
35,Makhaya Ntini,4.0,43,0,0.0,RR,Chidambaram,2008-05-24,2008
