POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
1,Virender Sehwag,30,6,500.0,3,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
2,Sanath Jayasuriya,26,5,520.0,2,3,CSK,Wankhede Stadium,2008-05-14,2008
3,MF Maharoof,26,5,520.0,0,4,RR,Sawai Mansingh Stadium,2008-05-11,2008
4,Rohit Sharma,26,6,433.33,3,2,DC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
5,Shane Watson,26,6,433.33,5,1,RCB,M. Chinnaswamy Stadium,2008-04-26,2008
6,Misbah-ul-Haq,24,6,400.0,1,3,DC,M. Chinnaswamy Stadium,2008-05-19,2008
7,MS Dhoni,23,6,383.33,4,1,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
8,Kamran Akmal,23,6,383.33,1,3,PBKS,IS Bindra Stadium,2008-05-28,2008
9,Albie Morkel,23,6,383.33,1,3,DC,Arun Jaitley Stadium,2008-05-08,2008
10,Brendon McCullum,22,6,366.66,0,3,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
11,Adam Gilchrist,22,5,440.0,1,3,MI,DY Patil Stadium,2008-04-27,2008
12,Venugopal Rao,22,6,366.66,1,3,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
13,Sanath Jayasuriya,22,5,440.0,2,2,KKR,Wankhede Stadium,2008-05-16,2008
14,Rohit Sharma,21,6,350.0,1,2,PBKS,IS Bindra Stadium,2008-05-23,2008
15,Virender Sehwag,21,5,420.0,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
16,Adam Gilchrist,20,6,333.33,2,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
17,Sanath Jayasuriya,20,6,333.33,2,2,CSK,Wankhede Stadium,2008-05-14,2008
18,David Hussey,20,6,333.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
19,Shahid Afridi,20,5,400.0,2,2,CSK,Chidambaram,2008-05-06,2008
20,Piyush Chawla,20,5,400.0,3,1,KKR,IS Bindra Stadium,2008-05-03,2008
21,Shaun Pollock,19,4,475.0,0,3,DC,DY Patil Stadium,2008-05-04,2008
22,Shane Watson,19,5,380.0,1,2,DC,Wankhede Stadium,2008-05-30,2008
23,Mohammad Kaif,19,5,380.0,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
24,Adam Gilchrist,19,4,475.0,0,3,MI,DY Patil Stadium,2008-04-27,2008
25,Adam Gilchrist,19,5,380.0,1,2,CSK,Chidambaram,2008-05-06,2008
26,Balachandra Akhil,19,4,475.0,0,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
27,Robin Uthappa,19,6,316.66,3,1,CSK,Chidambaram,2008-04-23,2008
28,Shaun Marsh,19,5,380.0,3,1,RCB,IS Bindra Stadium,2008-05-12,2008
29,Rohit Sharma,19,5,380.0,1,2,DC,Arun Jaitley Stadium,2008-05-15,2008
30,Sanath Jayasuriya,19,6,316.66,0,3,CSK,Wankhede Stadium,2008-05-14,2008
31,Rahul Dravid,18,6,300.0,0,3,RR,Sawai Mansingh Stadium,2008-05-17,2008
32,Brendon McCullum,18,6,300.0,3,1,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
33,Virender Sehwag,18,5,360.0,3,1,MI,Arun Jaitley Stadium,2008-05-24,2008
34,Yuvraj Singh,18,3,600.0,0,3,RR,IS Bindra Stadium,2008-05-28,2008
35,Shane Watson,18,8,225.0,2,1,DC,Sawai Mansingh Stadium,2008-05-11,2008
36,Shreevats Goswami,18,6,300.0,3,1,DC,M. Chinnaswamy Stadium,2008-05-19,2008
37,Virender Sehwag,18,5,360.0,3,1,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
38,Sanath Jayasuriya,18,5,360.0,3,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
39,Mark Boucher,18,5,360.0,1,2,DC,Arun Jaitley Stadium,2008-04-30,2008
40,Sanath Jayasuriya,18,6,300.0,3,1,RCB,Wankhede Stadium,2008-04-20,2008
41,Mahela Jayawardena,17,5,340.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-01,2008
42,Brendon McCullum,17,5,340.0,1,2,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
43,Misbah-ul-Haq,17,5,340.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
44,Kumar Sangakkara,17,6,283.33,3,0,MI,IS Bindra Stadium,2008-04-25,2008
45,Venugopal Rao,17,5,340.0,1,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
46,Subramaniam Badrinath,17,4,425.0,1,2,PBKS,IS Bindra Stadium,2008-04-19,2008
47,Andrew Symonds,17,6,283.33,2,1,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
48,Niraj Patel,17,6,283.33,4,0,PBKS,IS Bindra Stadium,2008-05-28,2008
49,Sourav Ganguly,17,5,340.0,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
50,Sanath Jayasuriya,17,5,340.0,1,2,PBKS,Wankhede Stadium,2008-05-21,2008
51,Virender Sehwag,17,4,425.0,1,2,PBKS,Arun Jaitley Stadium,2008-05-17,2008
52,Sourav Ganguly,17,4,425.0,1,2,PBKS,Eden Gardens,2008-05-25,2008
53,Venugopal Rao,17,4,425.0,1,2,DC,Arun Jaitley Stadium,2008-05-15,2008
54,Virender Sehwag,17,6,283.33,2,1,CSK,Chidambaram,2008-05-02,2008
55,Yusuf Pathan,17,4,425.0,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
56,Wriddhiman Saha,16,6,266.66,0,2,PBKS,IS Bindra Stadium,2008-05-03,2008
57,Virender Sehwag,16,5,320.0,2,1,RCB,Arun Jaitley Stadium,2008-04-30,2008
58,Gautam Gambhir,16,4,400.0,1,2,DEC,Arun Jaitley Stadium,2008-05-15,2008
59,Rohit Sharma,16,5,320.0,3,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,2008-05-01,2008
60,Albie Morkel,16,5,320.0,2,1,RR,Sawai Mansingh Stadium,2008-05-04,2008
61,Kumar Sangakkara,16,6,266.66,2,1,MI,IS Bindra Stadium,2008-04-25,2008
62,David Hussey,16,5,320.0,2,1,PBKS,IS Bindra Stadium,2008-05-03,2008
63,Sanath Jayasuriya,16,6,266.66,1,2,RCB,M. Chinnaswamy Stadium,2008-05-28,2008
64,Shane Warne,16,3,533.33,1,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
65,Cameron White,16,6,266.66,2,1,MI,M. Chinnaswamy Stadium,2008-05-28,2008
66,Dwayne Smith,16,6,266.66,2,1,PBKS,Wankhede Stadium,2008-05-21,2008
67,Brendon McCullum,16,3,533.33,1,2,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
68,Kamran Akmal,16,4,400.0,2,1,CSK,Chidambaram,2008-05-24,2008
69,Sanath Jayasuriya,16,5,320.0,1,2,DC,Arun Jaitley Stadium,2008-05-24,2008
70,Adam Gilchrist,16,6,266.66,1,2,KKR,Eden Gardens,2008-04-20,2008
71,Piyush Chawla,15,6,250.0,3,0,RR,Sawai Mansingh Stadium,2008-04-21,2008
72,Sanath Jayasuriya,15,5,300.0,2,1,DC,DY Patil Stadium,2008-05-04,2008
73,MS Dhoni,15,5,300.0,0,2,PBKS,Chidambaram,2008-05-10,2008
74,Graeme Smith,15,4,375.0,2,1,CSK,Chidambaram,2008-05-24,2008
75,Michael Hussey,15,4,375.0,2,1,PBKS,IS Bindra Stadium,2008-04-19,2008
76,Kumar Sangakkara,15,5,300.0,2,1,RR,Sawai Mansingh Stadium,2008-04-21,2008
77,Mark Boucher,15,5,300.0,2,1,KKR,Eden Gardens,2008-05-08,2008
78,Mohammad Kaif,15,6,250.0,3,0,KKR,Eden Gardens,2008-05-20,2008
79,Yusuf Pathan,15,5,300.0,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
80,Yusuf Pathan,15,4,375.0,2,1,DC,Wankhede Stadium,2008-05-30,2008
81,Yusuf Pathan,15,4,375.0,2,1,DEC,Sawai Mansingh Stadium,2008-05-09,2008
82,Suresh Raina,15,4,375.0,2,1,PBKS,Wankhede Stadium,2008-05-31,2008
83,Shaun Marsh,15,6,250.0,0,2,CSK,Chidambaram,2008-05-10,2008
84,Sourav Ganguly,15,4,375.0,0,2,PBKS,Eden Gardens,2008-05-25,2008
85,Rahul Dravid,15,4,375.0,2,1,RR,Sawai Mansingh Stadium,2008-05-17,2008
86,Suresh Raina,15,5,300.0,2,1,RR,Chidambaram,2008-05-24,2008
87,Brendon McCullum,15,7,214.28,2,1,CSK,Chidambaram,2008-04-26,2008
88,Manpreet Gony,15,4,375.0,0,2,DEC,Chidambaram,2008-05-06,2008
89,Swapnil Asnodkar,15,6,250.0,2,1,DC,Wankhede Stadium,2008-05-30,2008
90,Graeme Smith,15,6,250.0,2,1,RCB,Sawai Mansingh Stadium,2008-05-17,2008
91,Mark Boucher,15,5,300.0,2,1,PBKS,IS Bindra Stadium,2008-05-12,2008
92,Luke Pomersbach,15,5,300.0,2,1,MI,Wankhede Stadium,2008-05-21,2008
93,James Hopes,15,5,300.0,3,0,RR,IS Bindra Stadium,2008-05-28,2008
94,Albie Morkel,15,4,375.0,2,1,RR,Chidambaram,2008-05-24,2008
95,Virender Sehwag,15,5,300.0,0,2,CSK,Chidambaram,2008-05-02,2008
96,Andrew Symonds,14,4,350.0,0,2,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
97,Abhishek Nayar,14,4,350.0,0,2,PBKS,Wankhede Stadium,2008-05-21,2008
98,Robin Uthappa,14,5,280.0,3,0,DC,Arun Jaitley Stadium,2008-05-24,2008
99,Yuvraj Singh,14,6,233.33,2,1,KKR,IS Bindra Stadium,2008-05-03,2008
100,Virender Sehwag,14,4,350.0,0,2,MI,DY Patil Stadium,2008-05-04,2008
101,Parthiv Patel,14,6,233.33,3,0,PBKS,IS Bindra Stadium,2008-04-19,2008
102,MS Dhoni,14,5,280.0,1,1,PBKS,Chidambaram,2008-05-10,2008
103,Shaun Marsh,14,6,233.33,3,0,RCB,M. Chinnaswamy Stadium,2008-05-05,2008
104,Laxmi Ratan Shukla,14,3,466.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
105,MS Dhoni,14,5,280.0,2,1,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
106,Swapnil Asnodkar,14,6,233.33,3,0,DC,Wankhede Stadium,2008-05-30,2008
107,Adam Gilchrist,14,6,233.33,3,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
108,Ross Taylor,14,3,466.66,2,1,RR,M. Chinnaswamy Stadium,2008-04-26,2008
109,Robin Uthappa,14,4,350.0,0,2,DC,Arun Jaitley Stadium,2008-05-24,2008
110,James Hopes,14,5,280.0,3,0,CSK,IS Bindra Stadium,2008-04-19,2008
111,VVS Laxman,14,5,280.0,3,0,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
112,Sanjay Bangar,14,4,350.0,0,2,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
113,Parthiv Patel,14,7,200.0,3,0,RCB,Chidambaram,2008-05-21,2008
114,Matthew Hayden,14,6,233.33,2,1,MI,Chidambaram,2008-04-23,2008
115,Rahul Dravid,14,6,233.33,2,1,RR,Sawai Mansingh Stadium,2008-05-17,2008
116,Abhishek Nayar,14,3,466.66,2,1,CSK,Chidambaram,2008-04-23,2008
117,Swapnil Asnodkar,14,5,280.0,3,0,KKR,Sawai Mansingh Stadium,2008-05-01,2008
118,Suresh Raina,14,5,280.0,2,1,RR,Chidambaram,2008-05-24,2008
119,Herschelle Gibbs,14,6,233.33,2,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
120,Yusuf Pathan,14,3,466.66,2,1,KKR,Eden Gardens,2008-05-20,2008
121,Graeme Smith,14,6,233.33,3,0,DC,Wankhede Stadium,2008-05-30,2008
122,Dwayne Bravo,14,5,280.0,2,1,KKR,Eden Gardens,2008-04-29,2008
123,Shaun Marsh,13,5,260.0,1,1,DEC,IS Bindra Stadium,2008-05-23,2008
124,Yusuf Pathan,13,3,433.33,0,2,PBKS,IS Bindra Stadium,2008-05-28,2008
125,Sourav Ganguly,13,4,325.0,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
126,Rahul Dravid,13,5,260.0,0,2,DEC,M. Chinnaswamy Stadium,2008-05-03,2008
127,Rahul Dravid,13,6,216.66,3,0,PBKS,M. Chinnaswamy Stadium,2008-05-05,2008
128,David Hussey,13,4,325.0,0,2,RCB,Eden Gardens,2008-05-08,2008
129,Virender Sehwag,13,5,260.0,3,0,RCB,M. Chinnaswamy Stadium,2008-05-19,2008
130,Venugopal Rao,13,5,260.0,0,2,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
131,Stephen Fleming,13,6,216.66,1,1,RCB,Chidambaram,2008-05-21,2008
132,Mahela Jayawardena,13,4,325.0,3,0,DC,Arun Jaitley Stadium,2008-05-17,2008
133,Herschelle Gibbs,13,5,260.0,0,2,DC,Arun Jaitley Stadium,2008-05-15,2008
134,MS Dhoni,13,5,260.0,2,0,KKR,Chidambaram,2008-04-26,2008
135,Yuvraj Singh,13,4,325.0,0,2,RR,Sawai Mansingh Stadium,2008-04-21,2008
136,James Hopes,13,3,433.33,0,2,CSK,IS Bindra Stadium,2008-04-19,2008
137,Sourav Ganguly,13,4,325.0,1,1,RR,Sawai Mansingh Stadium,2008-05-01,2008
138,Michael Hussey,13,5,260.0,0,2,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
139,Cameron White,13,4,325.0,1,1,KKR,Eden Gardens,2008-05-08,2008
140,Yusuf Pathan,13,4,325.0,0,2,CSK,DY Patil Stadium,2008-06-01,2008
141,Shane Watson,13,4,325.0,3,0,DC,Arun Jaitley Stadium,2008-04-19,2008
142,Ross Taylor,13,4,325.0,0,2,MI,Wankhede Stadium,2008-04-20,2008
143,Gautam Gambhir,13,4,325.0,3,0,CSK,Arun Jaitley Stadium,2008-05-08,2008
144,Andrew Symonds,13,4,325.0,0,2,KKR,Eden Gardens,2008-04-20,2008
145,Misbah-ul-Haq,13,5,260.0,1,1,DC,M. Chinnaswamy Stadium,2008-05-19,2008
146,Gautam Gambhir,13,5,260.0,3,0,RCB,Arun Jaitley Stadium,2008-04-30,2008
147,Subramaniam Badrinath,13,5,260.0,0,2,PBKS,Chidambaram,2008-05-10,2008
148,Michael Hussey,13,4,325.0,1,1,PBKS,IS Bindra Stadium,2008-04-19,2008
149,Yusuf Pathan,13,4,325.0,3,0,PBKS,IS Bindra Stadium,2008-05-28,2008
150,Stephen Fleming,13,5,260.0,1,1,RCB,Chidambaram,2008-05-21,2008
1,David Hussey,25,7,357.14,2,2,DEC,New Wanderers Stadium,2009-05-16,2009
2,MS Dhoni,24,6,400.0,2,2,PBKS,Supersport Park,2009-05-07,2009
3,Adam Gilchrist,23,6,383.33,1,3,DC,Supersport Park,2009-05-22,2009
4,Rohit Sharma,22,6,366.66,2,2,KKR,New Wanderers Stadium,2009-05-16,2009
5,Brendon McCullum,22,6,366.66,4,1,CSK,Supersport Park,2009-05-18,2009
6,Dwayne Bravo,21,6,350.0,2,2,PBKS,Supersport Park,2009-05-12,2009
7,Abhishek Nayar,21,5,420.0,0,3,CSK,Newlands,2009-04-18,2009
8,Naman Ojha,21,5,420.0,0,3,KKR,Kingsmead,2009-05-20,2009
9,Adam Gilchrist,20,6,333.33,5,0,DC,Supersport Park,2009-05-22,2009
10,Subramaniam Badrinath,20,6,333.33,3,1,RR,De Beers Diamond Oval,2009-05-09,2009
11,Matthew Hayden,19,5,380.0,3,1,RCB,St George's Park,2009-04-20,2009
12,Andrew Symonds,19,5,380.0,1,2,PBKS,De Beers Diamond Oval,2009-05-09,2009
13,Dwayne Smith,19,5,380.0,1,2,DC,Supersport Park,2009-04-30,2009
14,Rohit Sharma,19,5,380.0,0,3,RCB,Newlands,2009-04-22,2009
