POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year
1,Brendon McCullum,158,73,216.43,10,13,RCB,M. Chinnaswamy Stadium,2008-04-18,2008
2,Sanath Jayasuriya,114,48,237.5,9,11,CSK,Wankhede Stadium,2008-05-14,2008
3,Adam Gilchrist,109,47,231.91,9,10,MI,DY Patil Stadium,2008-04-27,2008
4,Michael Hussey,116,54,214.81,8,9,PBKS,IS Bindra Stadium,2008-04-19,2008
5,Andrew Symonds,117,53,220.75,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
6,Shaun Marsh,115,69,166.66,11,7,RR,IS Bindra Stadium,2008-05-28,2008
7,Yuvraj Singh,49,16,306.25,2,6,RR,IS Bindra Stadium,2008-05-28,2008
8,Virender Sehwag,94,41,229.26,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
9,Yusuf Pathan,61,28,217.85,4,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
10,Rahul Dravid,75,36,208.33,6,6,RR,Sawai Mansingh Stadium,2008-05-17,2008
11,Venugopal Rao,71,42,169.04,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
12,Sourav Ganguly,86,53,162.26,6,6,PBKS,Eden Gardens,2008-05-25,2008
13,Virender Sehwag,51,26,196.15,2,5,PBKS,Arun Jaitley Stadium,2008-05-17,2008
14,Shane Watson,74,40,185.0,5,5,DC,Sawai Mansingh Stadium,2008-05-11,2008
15,Sanath Jayasuriya,70,42,166.66,7,5,DC,Arun Jaitley Stadium,2008-05-24,2008
16,Sourav Ganguly,91,57,159.64,11,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
17,Shane Watson,76,49,155.1,5,5,PBKS,Sawai Mansingh Stadium,2008-04-21,2008
18,MF Maharoof,39,16,243.75,2,4,RR,Sawai Mansingh Stadium,2008-05-11,2008
19,Yusuf Pathan,45,21,214.28,3,4,DC,Wankhede Stadium,2008-05-30,2008
20,Misbah-ul-Haq,47,25,188.0,2,4,DC,M. Chinnaswamy Stadium,2008-05-19,2008
21,Rohit Sharma,50,27,185.18,3,4,PBKS,IS Bindra Stadium,2008-05-23,2008
22,Wriddhiman Saha,59,32,184.37,2,4,PBKS,IS Bindra Stadium,2008-05-03,2008
23,Rohit Sharma,66,36,183.33,6,4,DC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-22,2008
24,Graeme Smith,91,51,178.43,9,4,CSK,Chidambaram,2008-05-24,2008
25,Albie Morkel,71,40,177.5,6,4,RR,Chidambaram,2008-05-24,2008
26,Virender Sehwag,71,41,173.17,7,4,CSK,Chidambaram,2008-05-02,2008
27,Suresh Raina,55,34,161.76,4,4,PBKS,Wankhede Stadium,2008-05-31,2008
28,David Hussey,71,46,154.34,4,4,PBKS,IS Bindra Stadium,2008-05-03,2008
29,Shaun Marsh,58,38,152.63,3,4,CSK,Chidambaram,2008-05-10,2008
30,Sanath Jayasuriya,54,37,145.94,4,4,RCB,M. Chinnaswamy Stadium,2008-05-28,2008
31,Shaun Marsh,81,56,144.64,7,4,MI,Wankhede Stadium,2008-05-21,2008
32,Yusuf Pathan,56,39,143.58,3,4,CSK,DY Patil Stadium,2008-06-01,2008
33,MS Dhoni,60,43,139.53,2,4,PBKS,Chidambaram,2008-05-10,2008
34,Balachandra Akhil,27,7,385.71,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-25,2008
35,Kamran Akmal,24,8,300.0,1,3,PBKS,IS Bindra Stadium,2008-05-28,2008
36,Yuvraj Singh,23,8,287.5,1,3,DC,Arun Jaitley Stadium,2008-05-17,2008
37,Sanath Jayasuriya,48,17,282.35,6,3,KKR,Wankhede Stadium,2008-05-16,2008
38,Yusuf Pathan,48,18,266.66,5,3,KKR,Eden Gardens,2008-05-20,2008
39,Yusuf Pathan,39,15,260.0,3,3,PBKS,IS Bindra Stadium,2008-05-28,2008
40,Suresh Raina,32,13,246.15,2,3,PBKS,IS Bindra Stadium,2008-04-19,2008
41,Irfan Pathan,40,18,222.22,3,3,CSK,Chidambaram,2008-05-10,2008
42,Shaun Pollock,33,15,220.0,2,3,DC,DY Patil Stadium,2008-05-04,2008
43,Ross Taylor,44,20,220.0,6,3,RR,M. Chinnaswamy Stadium,2008-04-26,2008
44,Umar Gul,24,11,218.18,1,3,PBKS,Eden Gardens,2008-05-25,2008
45,MS Dhoni,65,30,216.66,9,3,RCB,M. Chinnaswamy Stadium,2008-04-28,2008
46,David Hussey,26,12,216.66,1,3,RCB,Eden Gardens,2008-05-08,2008
47,James Hopes,71,33,215.15,10,3,CSK,IS Bindra Stadium,2008-04-19,2008
48,Mohammad Kaif,34,16,212.5,2,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,2008
49,Luke Pomersbach,25,12,208.33,0,3,DC,Arun Jaitley Stadium,2008-05-17,2008
50,Harbhajan Singh,28,14,200.0,1,3,CSK,Chidambaram,2008-04-23,2008
51,Albie Morkel,30,15,200.0,2,3,DC,Arun Jaitley Stadium,2008-05-08,2008
52,Virender Sehwag,40,20,200.0,3,3,MI,DY Patil Stadium,2008-05-04,2008
53,David Hussey,57,29,196.55,4,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,2008-05-11,2008
54,Kamran Akmal,53,28,189.28,4,3,CSK,Chidambaram,2008-05-24,2008
55,Shane Watson,52,29,179.31,4,3,DC,Wankhede Stadium,2008-05-30,2008
56,Abhishek Nayar,34,19,178.94,1,3,DEC,DY Patil Stadium,2008-04-27,2008
57,Dinesh Karthik,56,32,175.0,4,3,MI,Arun Jaitley Stadium,2008-05-24,2008
58,Yuvraj Singh,57,34,167.64,6,3,RR,Sawai Mansingh Stadium,2008-04-21,2008
59,Gautam Gambhir,79,48,164.58,7,3,DEC,Arun Jaitley Stadium,2008-05-15,2008
60,Luke Pomersbach,79,50,158.0,10,3,MI,Wankhede Stadium,2008-05-21,2008
61,Ross Taylor,53,34,155.88,3,3,CSK,M. Chinnaswamy Stadium,2008-04-28,2008
62,Shikhar Dhawan,50,33,151.51,4,3,RCB,Arun Jaitley Stadium,2008-04-30,2008
63,Venugopal Rao,57,38,150.0,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
64,Suresh Raina,53,37,143.24,3,3,MI,Chidambaram,2008-04-23,2008
65,Matthew Hayden,70,49,142.85,6,3,KKR,Chidambaram,2008-04-26,2008
66,James Hopes,27,19,142.1,0,3,RCB,IS Bindra Stadium,2008-05-12,2008
67,Dwaraka Ravi Teja,37,27,137.03,2,3,MI,Rajiv Gandhi Intl. Cricket Stadium,2008-05-18,2008
68,Subramaniam Badrinath,64,47,136.17,6,3,PBKS,Chidambaram,2008-05-10,2008
69,Rohit Sharma,57,42,135.71,5,3,RCB,M. Chinnaswamy Stadium,2008-05-03,2008
70,Shaun Marsh,60,46,130.43,3,3,DEC,IS Bindra Stadium,2008-05-23,2008
71,Herschelle Gibbs,44,34,129.41,3,3,PBKS,IS Bindra Stadium,2008-05-23,2008
72,Praveen Kumar,34,30,113.33,2,3,RR,M. Chinnaswamy Stadium,2008-04-26,2008
73,David Hussey,38,43,88.37,1,3,DEC,Eden Gardens,2008-04-20,2008
